nohup: ignoring input
OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
2026-05-13 08:43:56,301 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,303 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,303 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,302 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:43:56,303 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:43:56,316 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:43:56,316 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,316 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,316 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent4: BUY (48%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent4: SELL (30%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent4: SELL (30%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,318 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,318 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,318 - master_brain - INFO - agent4: BUY (49%)
2026-05-13 08:43:56,317 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,318 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:56,318 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:43:56,318 - master_brain - INFO - agent4: BUY (15%)
2026-05-13 08:43:56,318 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,318 - master_brain - INFO - Analysis complete for EURJPY=X: HOLD (48%)
2026-05-13 08:43:56,319 - master_brain - INFO - Analysis complete for NZDUSD=X: HOLD (30%)
2026-05-13 08:43:56,320 - master_brain - INFO - Analyzing AUDCAD=X on 1h timeframe
2026-05-13 08:43:56,320 - master_brain - INFO - Analyzing AUDJPY=X on 1h timeframe
2026-05-13 08:43:56,318 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:43:56,321 - master_brain - INFO - Analysis complete for EURCHF=X: HOLD (30%)
2026-05-13 08:43:56,321 - master_brain - INFO - Analyzing CADJPY=X on 1h timeframe
2026-05-13 08:43:56,320 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,329 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:56,329 - master_brain - INFO - Analysis complete for GBPJPY=X: HOLD (15%)
2026-05-13 08:43:56,330 - master_brain - INFO - Analyzing CHFJPY=X on 1h timeframe
2026-05-13 08:43:56,320 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:56,336 - master_brain - INFO - Analysis complete for EURGBP=X: HOLD (49%)
2026-05-13 08:43:56,337 - master_brain - INFO - Analyzing NZDJPY=X on 1h timeframe
2026-05-13 08:43:57,963 - utils.data_fetcher - INFO - Fetching data for EURCAD=X (EURCAD=X) on 1h timeframe
2026-05-13 08:43:57,963 - utils.data_fetcher - INFO - Fetching data for AUDJPY=X (AUDJPY=X) on 1h timeframe
2026-05-13 08:43:57,964 - utils.data_fetcher - INFO - Fetching data for CADJPY=X (CADJPY=X) on 1h timeframe
2026-05-13 08:43:57,964 - utils.data_fetcher - INFO - Fetching data for AUDCAD=X (AUDCAD=X) on 1h timeframe
2026-05-13 08:43:57,964 - utils.data_fetcher - INFO - Fetching data for NZDJPY=X (NZDJPY=X) on 1h timeframe
2026-05-13 08:43:57,964 - utils.data_fetcher - INFO - Fetching data for CHFJPY=X (CHFJPY=X) on 1h timeframe
2026-05-13 08:43:57,999 - utils.data_fetcher - INFO - Successfully fetched 122 candles for NZDJPY=X
2026-05-13 08:43:58,001 - utils.data_fetcher - INFO - Successfully fetched 122 candles for CHFJPY=X
2026-05-13 08:43:58,003 - utils.data_fetcher - INFO - Successfully fetched 122 candles for AUDJPY=X
2026-05-13 08:43:58,015 - utils.data_fetcher - INFO - Successfully fetched 122 candles for CADJPY=X
2026-05-13 08:43:58,024 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURCAD=X
2026-05-13 08:43:58,029 - utils.data_fetcher - INFO - Successfully fetched 122 candles for AUDCAD=X
2026-05-13 08:44:00,000 - utils.data_fetcher - INFO - Fetching data for NZDJPY=X (NZDJPY=X) on 4h timeframe
2026-05-13 08:44:00,001 - utils.data_fetcher - INFO - Fetching data for CHFJPY=X (CHFJPY=X) on 4h timeframe
2026-05-13 08:44:00,003 - utils.data_fetcher - INFO - Fetching data for AUDJPY=X (AUDJPY=X) on 4h timeframe
2026-05-13 08:44:00,016 - utils.data_fetcher - INFO - Fetching data for CADJPY=X (CADJPY=X) on 4h timeframe
2026-05-13 08:44:00,024 - utils.data_fetcher - INFO - Fetching data for EURCAD=X (EURCAD=X) on 4h timeframe
2026-05-13 08:44:00,029 - utils.data_fetcher - INFO - Fetching data for AUDCAD=X (AUDCAD=X) on 4h timeframe
2026-05-13 08:44:00,040 - utils.data_fetcher - INFO - Successfully fetched 134 candles for NZDJPY=X
2026-05-13 08:44:00,058 - utils.data_fetcher - INFO - Successfully fetched 134 candles for CADJPY=X
2026-05-13 08:44:00,060 - utils.data_fetcher - INFO - Successfully fetched 134 candles for CHFJPY=X
2026-05-13 08:44:00,097 - utils.data_fetcher - INFO - Successfully fetched 134 candles for AUDJPY=X
2026-05-13 08:44:00,121 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURCAD=X
2026-05-13 08:44:00,202 - utils.data_fetcher - INFO - Successfully fetched 134 candles for AUDCAD=X
2026-05-13 08:44:00,418 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,418 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,418 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,418 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:00,418 - master_brain - INFO - agent4: SELL (30%)
2026-05-13 08:44:00,418 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:00,418 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:44:00,418 - master_brain - INFO - Analysis complete for NZDJPY=X: HOLD (30%)
2026-05-13 08:44:00,444 - master_brain - INFO - Analyzing GBPAUD=X on 1h timeframe
2026-05-13 08:44:00,519 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,539 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,541 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,557 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,559 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,561 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent4: BUY (30%)
2026-05-13 08:44:00,562 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,561 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,562 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,562 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:44:00,562 - master_brain - INFO - Analysis complete for AUDCAD=X: HOLD (30%)
2026-05-13 08:44:00,562 - master_brain - INFO - agent3: BUY (45%)
2026-05-13 08:44:00,562 - master_brain - INFO - agent4: SELL (35%)
2026-05-13 08:44:00,562 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:00,563 - master_brain - INFO - REASON FOR HOLD: Only 1 SELL votes. Need 3.
2026-05-13 08:44:00,563 - master_brain - INFO - Analysis complete for CADJPY=X: HOLD (40%)
2026-05-13 08:44:00,563 - master_brain - INFO - Analyzing GBPCAD=X on 1h timeframe
2026-05-13 08:44:00,561 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:44:00,563 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:44:00,563 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:44:00,563 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:00,563 - master_brain - INFO - agent4: BUY (52%)
2026-05-13 08:44:00,563 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:44:00,563 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:44:00,563 - master_brain - INFO - Analysis complete for EURCAD=X: HOLD (52%)
2026-05-13 08:44:00,563 - master_brain - INFO - Analyzing GBPCHF=X on 1h timeframe
2026-05-13 08:44:00,562 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:44:00,563 - master_brain - INFO - agent4: BUY (30%)
2026-05-13 08:44:00,564 - master_brain - INFO - agent5: N/A (90%)
